Player,Wingspan-in,Height-in,DWS,Pos
Darrell Arthur,82.75,79.5,0.1,PF
Bruno Caboclo,91,81,0.1,SF
Nigel Hayes,87.25,78.25,0.1,SF
Juan Hernangomez,84,81,0.1,PF
Isaiah Hicks,84.5,79.25,0.1,PF
John Holland,80.5,77,0.1,SF
Jalen Jones,83,79,0.1,SF
Jon Leuer,84,82,0.1,PF
Chris McCullough,87.25,80.25,0.1,PF
Alfonzo McKinnie,81,80,0.1,SF
Malcolm Miller,84,78,0.1,SF
Georges Niang,82,78.75,0.1,PF
Quincy Pondexter,84,78,0.1,SF
Alex Poythress,84,80,0.1,PF
Mirza Teletovic,83,81,0.1,PF
Andrew White,82,79,0.1,SF
Okaro White,83,80,0.1,PF
Damien Wilkins,84,76.5,0.1,SF
Alan Williams,85.5,80,0.1,PF
D.J. Wilson,87,80.75,0.1,PF
Joel Bolomboy,85.75,79.5,0,PF
Chris Boucher,87.5,82,0,PF
Anthony Brown,83.5,79,0,SF
Nicolas Brussino,82,80,0,SF
Nick Collison,85.5,80.75,0,PF
Jack Cooley,83,81,0,PF
Luol Deng,84.5,79,0,SF
Jarell Eddie,82,79,0,SF
Jeremy Evans,89,81,0,SF
Gordon Hayward,79.75,78.75,0,SF
Vince Hunter,83,78.75,0,PF
Richard Jefferson,84,79.25,0,SF
Omari Johnson,83,79,0,PF
Mindaugas Kuzminskas,83,81,0,SF
Tyler Lydon,84,80.25,0,PF
James Michael McAdoo,85,81,0,PF
Erik McCree,82.5,80,0,SF
Josh McRoberts,85,80,0,PF
Ben Moore,82.5,80,0,PF
Adreian Payne,88,81,0,PF
Alec Peters,82.75,79.25,0,PF
Devin Robinson,84.25,80,0,SF
Kyle Singler,82.1,79.5,0,SF
Josh Smith,84,79,0,PF
Jameel Warney,85.75,80,0,PF
James Webb,82,81,0,SF
Jacob Wiley,84,79,0,PF
Derrick Williams,85.5,81,0,PF
