Player,Wingspan-in,Height-in,DWS,Pos
Damion Lee,81,78,0.4,SG
Cameron Payne,79.25,72.75,0.4,PG
Briante Weber,79,74,0.4,PG
Joe Young,77,74,0.4,PG
Malik Beasley,79,75.5,0.3,SG
Patrick Beverley,77.5,73,0.3,SG
Trey Burke,77.5,71.75,0.3,PG
Jose Calderon,78,75,0.3,PG
Jamal Crawford,82,76.5,0.3,SG
Damyean Dotson,81,76.5,0.3,SG
Dante Exum,81.25,78,0.3,PG
Mike James,76,73,0.3,PG
Sean Kilpatrick,79,74.5,0.3,SG
Rodney McGruder,77.5,77,0.3,SG
Ramon Sessions,76.25,74,0.3,PG
Nik Stauskas,79.75,77.25,0.3,SG
Isaiah Thomas,73.75,68.75,0.3,PG
Arron Afflalo,81,77,0.2,SG
Ryan Arcidiacono,75,75,0.2,PG
Jabari Bird,80,78,0.2,SG
MarShon Brooks,85,77,0.2,SG
Antonius Cleveland,83,78,0.2,SG
Mike Conley,77.75,71,0.2,PG
Matthew Dellavedova,76,76,0.2,PG
Aaron Harrison,80,78,0.2,SG
Gary Payton,80,75,0.2,PG
Davon Reed,84,76.5,0.2,SG
Wayne Selden,82.5,76.25,0.2,SG
Iman Shumpert,81.5,76.25,0.2,SG
Kobi Simmons,78,75.25,0.2,PG
Julyan Stone,82,78,0.2,SG
Derrick Walton Jr.,74.5,71,0.2,PG
Derrick White,79.5,75.25,0.2,PG
Isaiah Whitehead,80.75,75.25,0.2,PG
Kadeem Allen,81.25,73,0.1,PG
Jamel Artis,82,77.5,0.1,SG
Wade Baldwin,82,76,0.1,PG
Antonio Blakeney,79.5,76,0.1,SG
Aaron Brooks,76,70,0.1,PG
Bobby Brown,76,71,0.1,PG
Lorenzo Brown,79,76,0.1,PG
Isaiah Canaan,76.5,71,0.1,PG
Milton Doyle,79,76,0.1,SG
Kay Felder,74.5,68.25,0.1,PG
Josh Gray,76.75,73,0.1,PG
Darrun Hilliard,80,78,0.1,SG
Danuel House,80,79,0.1,SG
R.J. Hunter,82.5,76.5,0.1,SG
Andre Ingram,78,75,0.1,SG
Demetrius Jackson,77.5,72,0.1,PG
Brandon Jennings,79,73,0.1,PG
Furkan Korkmaz,79,79,0.1,SG
Josh Magette,76,73,0.1,PG
Jaylen Morris,79,77,0.1,SG
Rodney Purvis,76,76,0.1,SG
Xavier Rathan-Mayes,77,76,0.1,SG
Malachi Richardson,84,76.75,0.1,SG
Derrick Rose,80,73.5,0.1,PG
Rashad Vaughn,79,75.75,0.1,SG
Vander Blue,78,75.5,0,SG
Markel Brown,80.75,74.5,0,SG
Gian Clavell,79,76,0,SG
Charles Cooke,83.5,77,0,SG
Jordan Crawford,79,75,0,SG
Troy Daniels,79,76,0,SG
PJ Dozier,83,77.25,0,PG
Larry Drew,78,72,0,PG
Marcus Georges-Hunt,81,77,0,SG
Jonathan Gibson,77,74,0,PG
Daniel Hamilton,81,78.25,0,SG
Reggie Hearn,80,78,0,SG
Scotty Hopson,82.5,77.75,0,SG
Aaron Jackson,75,76,0,PG
Walt Lemon Jr.,78.5,76,0,PG
Jeremy Lin,77,75,0,PG
Trey McKinney-Jones,78,76,0,SG
Naz Mitrou-Long,78,76,0,SG
Luis Montero,85,80,0,SG
Monte Morris,76,73.25,0,PG
Xavier Munford,76.5,75,0,SG
Marcus Paige,78.25,72.5,0,PG
London Perrantes,75,74,0,PG
Jacob Pullen,76,73,0,PG
Tim Quarterman,81.5,78,0,SG
Xavier Silas,80.5,77,0,SG
David Stockton,75.5,71,0,PG
Edmond Sumner,80,77,0,PG
Marquis Teague,78.5,74,0,PG
Matt Williams,79,77,0,SG
Nate Wolters,75.75,75.5,0,PG
James Young,84,77.25,0,SG
